Scrape_Timestamp,Days_to_Departure,Departure_Date,Day_of_Week,Departure_Time,Arrival_Time,Source_City,Destination_City,Airline,Flight_Number,Total_Duration_Mins,Number_of_Stops,CO2_Emissions_Grams,Price_Level,Flight_Category,Price_INR
2026-06-02 16:56:15,1,2026-06-03,Wednesday,11:35 PM,1:45 AM,BOM,DEL,SpiceJet,,130,0,103000,High,Best,15162
2026-06-02 16:56:15,1,2026-06-03,Wednesday,5:45 AM,10:35 AM,BOM,DEL,IndiGo,DQ 110,290,1,110000,High,Cheapest,14213
2026-06-02 16:56:29,3,2026-06-05,Friday,5:45 AM,10:35 AM,BOM,DEL,IndiGo,DQ 110,290,1,110000,Typical,Best,13243
2026-06-02 16:56:29,3,2026-06-05,Friday,5:45 AM,10:35 AM,BOM,DEL,IndiGo,DQ 110,290,1,110000,Typical,Cheapest,13243
2026-06-02 16:56:45,7,2026-06-09,Tuesday,10:25 AM,2:55 PM,BOM,DEL,IndiGo,DR 109,270,1,109000,Typical,Best,12700
2026-06-02 16:56:45,7,2026-06-09,Tuesday,10:25 AM,2:55 PM,BOM,DEL,IndiGo,DR 109,270,1,109000,Typical,Cheapest,12700
2026-06-02 16:57:00,14,2026-06-16,Tuesday,12:55 PM,3:20 PM,BOM,DEL,Akasa Air,,145,0,87000,Typical,Best,13146
2026-06-02 16:57:00,14,2026-06-16,Tuesday,10:25 AM,2:55 PM,BOM,DEL,IndiGo,DR 109,270,1,109000,Typical,Cheapest,12090
2026-06-02 16:57:16,30,2026-07-02,Thursday,5:00 AM,7:10 AM,BOM,DEL,IndiGo,,130,0,90000,Typical,Best,12830
2026-06-02 16:57:16,30,2026-07-02,Thursday,1:30 AM,6:45 AM,BOM,DEL,IndiGo,MD 115,315,1,115000,Typical,Cheapest,11958
2026-06-02 16:57:29,60,2026-08-01,Saturday,7:00 AM,9:20 AM,BOM,DEL,Akasa Air,,140,0,88000,High,Best,12476
2026-06-02 16:57:29,60,2026-08-01,Saturday,1:30 AM,6:45 AM,BOM,DEL,IndiGo,MD 117,315,1,117000,High,Cheapest,11958
2026-06-02 16:57:45,1,2026-06-03,Wednesday,4:30 AM,6:25 AM,BOM,BLR,IndiGo,,115,0,68000,High,Best,11517
2026-06-02 16:57:45,1,2026-06-03,Wednesday,12:05 PM,6:10 PM,BOM,BLR,IndiGo,SR 139,365,1,139000,High,Cheapest,10959
2026-06-02 16:57:55,3,2026-06-05,Friday,4:30 AM,6:25 AM,BOM,BLR,IndiGo,,115,0,68000,High,Best,11191
2026-06-02 16:57:55,3,2026-06-05,Friday,4:55 PM,9:20 PM,BOM,BLR,IndiGo,AG 137,265,1,137000,High,Cheapest,10915
2026-06-02 16:58:06,7,2026-06-09,Tuesday,1:10 AM,3:05 AM,BOM,BLR,IndiGo,,115,0,69000,High,Best,11517
2026-06-02 16:58:06,7,2026-06-09,Tuesday,2:45 AM,7:50 AM,BOM,BLR,IndiGo,YD 109,305,1,109000,High,Cheapest,10749
2026-06-02 16:58:17,14,2026-06-16,Tuesday,4:30 AM,6:25 AM,BOM,BLR,IndiGo,,115,0,69000,High,Best,11517
2026-06-02 16:58:17,14,2026-06-16,Tuesday,5:00 AM,9:20 AM,BOM,BLR,IndiGo,OI 99,260,1,99000,High,Cheapest,10978
2026-06-02 16:58:27,30,2026-07-02,Thursday,9:45 PM,11:45 PM,BOM,BLR,Akasa Air,,120,0,72000,Typical,Best,8560
2026-06-02 16:58:27,30,2026-07-02,Thursday,9:45 PM,11:45 PM,BOM,BLR,Akasa Air,,120,0,72000,Typical,Cheapest,8560
2026-06-02 16:58:41,60,2026-08-01,Saturday,9:15 AM,1:35 PM,BOM,BLR,IndiGo,OX 96,260,1,96000,High,Best,8321
2026-06-02 16:58:41,60,2026-08-01,Saturday,9:15 AM,1:35 PM,BOM,BLR,IndiGo,OX 96,260,1,96000,High,Cheapest,8321
